1	2.78
2	5.38
3	8.13
4	11.49
5	13.77
6	17.10
7	20.96
8	21.45
9	25.71
10	18.45
11	20.94
12	34.39
13	23.66
14	24.86
15	28.28
20	35.64
24	39.50
