1/1	2.93
1/2	6.24
1/3	8.96
1/4	11.03
1/5	13.39
1/6	15.54
1/7	16.5
1/8	18.6
1/9	16.7
1/10	16.93
1/11	18.68
1/12	18.38
2/12	18.06
2/24	21.03
3/36	27.41
4/48	25.74
5/60	31.57
6/72	28.79
7/84	29.97
8/96	33.08
